"","DEGREE CENTRALITY","BETWEENNESS CENTRALITY","ClOSENESS CENTRALITY","EIGENVECTGOR CENTRALITY"
"1000000326",1,1,9.0261562664135e-08,0.0199196920414309
"1000000327",1,1,9.0261562664135e-08,0.0199196920414309
"1000000328",1,1,9.0261562664135e-08,0.00039710927228268
"1000000329",1,1,9.0261562664135e-08,0.000397109272282679
"1000000330",1,1,9.0261562664135e-08,0.000397109272282679
"1000000331",1,1,9.0261562664135e-08,0.0199196920414309
"1000000332",1,1,9.0261562664135e-08,0.0199196920414309
"1000000333",2,1,9.0261562664135e-08,0.0199275991958372
"1000000334",1,1,9.0261562664135e-08,0.0199196920414309
"1000000335",1,1,9.0261562664135e-08,0.0199196920414309
"1000000336",1,1,9.0261562664135e-08,0.0199196920414309
"1000000337",1,1,9.0261562664135e-08,0.0199196920414309
"1000000338",1,1,9.0261562664135e-08,0.0199196920414309
"1000000339",1,1,9.0261562664135e-08,0.0199196920414309
"1000000340",1,1,9.0261562664135e-08,0.0199196920414309
"1000000341",1,1,9.0261562664135e-08,0.000397267093351496
"1000000342",1,1,9.0261562664135e-08,0.000396951639106142
"1000000343",1,1,9.0261562664135e-08,0.0199196920414309
"1000000344",1,1,9.0261562664135e-08,0.000396951639106142
"1000000345",1,1,9.0261562664135e-08,0.0199196920414309
"1000000346",1,1,9.0261562664135e-08,0.0199196920414309
"1000000347",1,0,9.0261562664135e-08,0.000397109272282679
"1000000348",1,0,9.0261562664135e-08,0.0199196920414309
"1000000349",1,0,9.0261562664135e-08,0.0199196920414309
"1000000350",1,0,9.0261562664135e-08,0.0199196920414309
"1000000351",1,0,9.0261562664135e-08,0.0199196920414309
"1000000352",1,0,9.0261562664135e-08,0.0199196920414309
"1000000353",5,0,9.0261562664135e-08,0.0199513615178044
"1000000354",1,0,9.0261562664135e-08,0.0199196920414309
"1000000355",1,0,9.0261562664135e-08,0.0199196920414309
"1000000356",1,0,9.0261562664135e-08,0.000396951639106142
"1000000357",2,0,9.0261562664135e-08,0.0199275991958372
"1000000358",1,0,9.0261562664135e-08,0.0199196920414309
"1000000359",1,0,9.0261562664135e-08,0.0199196920414309
"1000000360",1,0,9.0261562664135e-08,0.0199196920414309
"1000000361",1,0,9.0261562664135e-08,0.0199196920414309
"1000000362",1,0,9.0261562664135e-08,0.0199196920414309
"1000000363",1,0,9.0261562664135e-08,0.000397424977241918
"1000000364",1,0,9.0261562664135e-08,0.000396951639106142
"1000000365",1,0,9.0261562664135e-08,0.000397424977241918
"1000000366",1,0,9.0261562664135e-08,0.0199196920414309
"1000000367",1,0,9.0261562664135e-08,0.0199196920414309
"1000000368",3,0,9.0261562664135e-08,0.0199355220664916
"1000000369",1,0,9.0261562664135e-08,0.0199196920414309
"1000000370",1,0,9.0261562664135e-08,0.0199196920414309
"1000000371",1,0,9.0261562664135e-08,0.0199196920414309
"1000000372",1,0,9.0261562664135e-08,0.0199196920414309
"1000000373",1,0,9.0261562664135e-08,0.000396951639106142
